county_fips,poverty_estimate,poverty_percent,median_household_income,percent_uninsured,population_2022
17201,42 830,"15,4",62 557,,282188
17203,2 572,"6,9",85 892,,38128
18001,4 070,"11,5",60 620,,36068
18003,44 410,"11,5",65 967,,391449
18005,10 442,"12,7",68 910,,83540
18007,872,"10,1",62 248,,8719
18009,1 492,"12,7",54 825,,11919
18011,3 825,"5,2",102 805,,74164
18013,1 489,"9,7",74 161,,15570
18015,2 106,"10,3",64 731,,20555
18017,4 823,"13,1",60 452,,37540
18019,11 755,"9,6",68 493,,124237
18021,3 302,"12,7",59 057,,26379
18023,3 592,"11,2",60 916,,32843
18025,1 879,"18,0",53 547,,10536
18027,3 498,"10,7",63 777,,33418
18029,5 353,"10,6",77 621,,51138
18031,2 828,"10,9",65 847,,26416
18033,3 956,"9,2",72 910,,43731
18035,19 758,"19,0",54 059,,112031
18037,3 606,"8,4",71 171,,43632
18039,26 704,"13,1",63 777,,206890
18041,3 290,"14,3",54 892,,23349
18043,7 971,"10,1",74 264,,80714
18045,2 026,"12,3",63 973,,16574
18047,2 091,"9,1",74 779,,23028
18049,2 779,"13,8",62 412,,20327
18051,3 139,"9,7",66 247,,32993
18053,11 806,"19,3",51 053,,66022
18055,3 888,"12,7",61 663,,31006
18057,16 387,"4,5",117 068,,364921
18059,4 103,"5,0",87 845,,83070
18061,3 020,"7,7",72 259,,39851
18063,9 627,"5,4",94 760,,182534
18065,6 269,"13,9",54 714,,48915
18067,12 517,"15,2",56 960,,83574
18069,4 554,"12,8",59 491,,36834
18071,5 032,"11,1",66 082,,46300
18073,3 108,"9,4",75 738,,33281
18075,2 728,"13,7",57 690,,20198
18077,3 640,"11,9",64 214,,32946
18079,3 307,"12,2",63 597,,27536
18081,12 267,"7,6",83 036,,165782
18083,4 988,"14,6",58 238,,35789
18085,8 459,"10,7",71 611,,80826
18087,3 154,"7,8",81 010,,40866
18089,72 873,"14,7",66 169,,499689
18091,16 055,"15,3",66 336,,111675
18093,5 525,"12,4",60 141,,45222
18095,18 875,"15,0",58 926,,131744
18097,149 846,"15,7",62 776,,969466
18099,4 719,"10,3",70 938,,46332
18101,1 232,"12,8",64 216,,9803
18103,4 366,"13,6",60 835,,35674
18105,23 312,"18,2",64 299,,139745
18107,4 082,"11,0",66 283,,38273
18109,6 594,"9,2",75 542,,72236
18111,1 703,"12,5",66 837,,13823
18113,4 571,"9,8",69 567,,47367
18115,553,"9,1",70 618,,6114
18117,2 809,"14,5",54 128,,19623
18119,2 964,"14,0",62 460,,21482
18121,2 213,"14,4",64 700,,16369
18123,2 903,"16,6",55 503,,19183
18125,1 410,"11,8",63 487,,12168
18127,15 180,"8,9",84 352,,174791
18129,2 416,"9,7",75 907,,25063
18131,1 660,"13,5",60 487,,12485
18133,3 125,"9,5",68 301,,37301
18135,3 714,"15,4",56 920,,24437
18137,3 410,"12,0",63 571,,29087
18139,2 003,"12,2",61 653,,16673
18141,34 388,"13,2",61 028,,272234
18143,3 720,"15,4",57 837,,24588
18145,6 233,"14,1",66 045,,44991
18147,1 850,"9,3",70 440,,19967
18149,2 907,"12,6",58 523,,23258
18151,3 078,"9,4",73 250,,34725
18153,2 339,"12,7",55 497,,20670
18155,1 340,"13,6",63 246,,10006
18157,33 200,"19,2",56 088,,188717
18159,1 527,"10,1",65 025,,15361
18161,782,"11,3",61 171,,6952
18163,26 687,"15,4",57 997,,179744
18165,2 130,"14,0",58 280,,15451
18167,17 975,"18,5",52 286,,106006
18169,3 400,"11,5",64 025,,30828
18171,803,"9,6",73 539,,8461
18173,4 762,"7,4",84 567,,65185
18175,3 504,"12,6",65 342,,28224
18177,11 373,"17,8",51 622,,66273
18179,2 525,"9,1",68 879,,28335
18181,2 295,"9,4",66 167,,24598
18183,3 085,"9,0",72 448,,34627
19001,666,"9,1",66 997,,7494
19003,362,"10,1",58 973,,3611
19005,1 591,"11,6",60 743,,13960
19007,1 703,"14,3",53 589,,12094
19009,635,"11,6",60 504,,5598
19011,1 897,"7,5",82 762,,25711
19013,20 825,"16,6",62 020,,130274
19015,2 232,"8,6",74 896,,26609
19017,1 582,"6,7",83 797,,25259
19019,1 962,"9,6",70 498,,20714
19021,2 019,"10,2",67 552,,20600
19023,1 351,"9,6",67 233,,14269
19025,779,"8,6",64 634,,9725
19027,1 721,"8,5",73 643,,20567
19029,1 763,"13,7",61 204,,13104
19031,1 408,"7,8",71 563,,18399
19033,4 844,"11,7",63 279,,42409
19035,1 200,"10,7",65 985,,11491
19037,958,"8,3",74 077,,11716
19039,1 108,"11,6",65 129,,9692
19041,1 499,"9,3",68 542,,16475
19043,1 929,"11,5",64 486,,17027
19045,6 077,"13,3",61 136,,46344
19047,1 876,"11,8",67 363,,16123
19049,5 214,"4,9",109 138,,108016
19051,1 047,"11,6",65 201,,9130
19053,1 285,"17,9",51 749,,7683
19055,1 471,"8,5",74 017,,17568
19057,5 593,"14,8",59 688,,38293
19059,1 240,"7,0",75 406,,18028
19061,10 067,"10,6",73 492,,98677
19063,1 014,"11,5",56 834,,9176
19065,2 389,"13,0",56 599,,19294
19067,1 778,"11,7",64 553,,15337
19069,1 147,"11,8",63 775,,9916
19071,670,"10,5",69 018,,6464
19073,900,"10,4",63 562,,8741
19075,872,"7,1",79 386,,12356
19077,1 060,"10,1",72 701,,10647
19079,1 339,"9,2",68 795,,14820
19081,807,"7,7",67 498,,10685
19083,1 701,"10,7",59 622,,16567
19085,1 323,"9,2",73 457,,14658
19087,2 187,"12,0",63 702,,20196
19089,856,"9,1",66 979,,9533
19091,735,"7,8",71 521,,9572
19093,650,"9,7",67 696,,6888
19095,1 194,"7,4",72 948,,16475
19097,1 960,"10,3",64 792,,19324
19099,3 182,"8,8",69 047,,37938
19101,2 031,"13,6",59 603,,15698
19103,22 481,"15,3",74 909,,156420
19105,2 076,"10,6",70 671,,20848
19107,1 155,"11,8",65 653,,9904
19109,1 236,"8,7",65 510,,14475
19111,4 255,"13,5",59 017,,32840
19113,20 251,"9,1",74 134,,229033
19115,1 149,"10,9",70 953,,10677
19117,1 391,"16,1",60 245,,8689
19119,802,"6,7",74 061,,12179
19121,1 132,"6,7",80 887,,17036
19123,2 192,"10,3",68 759,,21946
19125,2 597,"8,1",73 451,,33642
19127,4 283,"11,1",69 818,,39879
19129,1 283,"8,9",75 835,,14553
19131,1 186,"11,5",65 132,,10532
19133,941,"11,3",60 237,,8486
19135,729,"9,8",66 176,,7550
19137,1 119,"11,2",58 895,,10205
19139,5 116,"12,3",69 096,,42377
19141,1 186,"8,7",67 470,,14060
19143,646,"10,9",64 993,,6036
19145,1 738,"12,5",60 567,,15143
19147,950,"11,2",65 438,,8764
19149,1 680,"6,6",79 431,,25681
19151,760,"11,0",61 927,,7053
19153,50 460,"10,2",77 369,,501089
19155,10 637,"11,7",68 712,,93173
19157,1 498,"8,9",69 566,,18467
19159,601,"13,2",60 061,,4670
19161,902,"9,5",72 499,,9673
19163,20 116,"11,8",68 576,,173924
19165,1 007,"8,8",71 628,,11645
19167,2 695,"8,0",75 994,,36050
19169,14 563,"16,6",68 720,,99673
19171,2 243,"13,5",66 295,,16903
19173,719,"12,4",56 021,,5858
19175,1 501,"13,0",55 812,,11887
19177,928,"12,9",64 550,,7256
19179,5 473,"16,1",61 555,,35043
19181,3 305,"6,3",90 943,,54327
19183,2 188,"9,9",70 539,,22571
19185,921,"14,5",58 000,,6467
19187,4 197,"12,5",67 110,,36626
19189,1 015,"10,1",66 776,,10617
19191,1 777,"9,7",72 032,,19974
19193,13 386,"13,0",66 830,,105671
19195,702,"9,7",71 329,,7319
19197,1 405,"11,2",67 291,,12681
20001,1 904,"15,7",50 995,,12579
20003,1 042,"13,6",59 683,,7776
20005,2 127,"14,7",59 085,,16108
20007,489,"12,0",59 845,,4122
20009,3 430,"13,9",56 711,,25080
20011,2 670,"19,0",44 954,,14493
20013,1 331,"14,4",56 391,,9364
20015,5 131,"7,8",80 214,,68240
20017,268,"11,3",58 580,,2548
20019,574,"17,1",49 457,,3415
20021,3 047,"16,2",54 965,,19088
20023,331,"13,0",56 500,,2583
20025,241,"12,7",58 914,,1933
20027,965,"12,3",59 021,,8043
20029,1 104,"13,1",52 483,,8946
20031,785,"9,6",69 100,,8280
20033,193,"11,9",53 657,,1681
20035,5 203,"16,0",56 416,,34453
20037,6 656,"17,7",51 835,,39078
20039,379,"14,4",51 152,,2689
20041,1 840,"10,2",63 136,,18430
20043,747,"10,6",64 608,,7440
20045,16 828,"15,1",67 482,,119964
20047,328,"12,1",55 777,,2739
20049,410,"16,8",47 094,,2441
20051,3 711,"13,6",61 675,,28941
20053,617,"11,9",63 636,,6355
20055,4 439,"12,0",69 966,,37650
20057,3 856,"11,7",67 714,,33848
20059,2 536,"10,0",67 263,,25992
20061,4 576,"13,2",60 026,,35691
20063,297,"11,1",64 037,,2717
20065,315,"13,3",53 233,,2411
20067,796,"11,2",66 022,,7197
20069,466,"8,3",77 761,,5729
20071,123,"10,3",72 300,,1223
20073,903,"15,4",52 145,,5939
20075,315,"13,0",63 442,,2430
20077,722,"13,8",52 893,,5323
20079,2 943,"9,0",73 854,,33801
20081,348,"9,9",69 971,,3576
20083,158,"9,1",67 478,,1755
20085,1 145,"8,8",70 445,,13286
20087,1 465,"8,1",75 774,,18344
20089,348,"12,1",56 144,,2898
20091,33 349,"5,4",99 174,,619195
20093,387,"10,3",75 773,,3855
20095,820,"11,6",65 597,,7193
20097,285,"12,8",61 700,,2404
20099,2 969,"15,3",52 318,,19757
20101,163,"10,6",64 934,,1556
20103,7 294,"9,5",79 117,,82892
20105,322,"11,3",58 049,,2899
20107,1 246,"12,8",59 651,,9796
20109,262,"9,8",63 204,,2705
20111,4 935,"16,1",55 863,,31898
20113,2 860,"10,2",73 766,,30012
20115,1 141,"10,2",64 337,,11868
20117,1 045,"10,7",58 942,,9982
20119,378,"9,9",68 038,,3897
20121,2 377,"6,9",82 606,,34867
20123,680,"12,1",63 929,,5738
20125,4 559,"15,1",54 955,,30996
20127,555,"10,6",60 741,,5349
20129,311,"12,2",62 896,,2599
20131,869,"8,8",72 719,,10115
20133,2 360,"15,6",49 322,,15606
20135,289,"11,3",61 539,,2645
20137,699,"16,1",56 604,,5301
20139,1 743,"11,3",62 995,,15654
20141,467,"13,8",53 971,,3490
20143,573,"10,1",69 542,,5795
20145,789,"14,6",47 939,,6179
20147,589,"12,4",58 834,,4809
20149,1 906,"7,4",85 822,,26273
20151,876,"10,2",65 812,,9067
20153,274,"11,0",59 116,,2528
20155,9 000,"15,3",57 663,,61516
20157,461,"10,1",53 974,,4642
20159,960,"10,8",61 727,,9407
20161,12 237,"20,2",55 876,,71108
20163,518,"11,2",57 029,,4813
20165,416,"14,6",56 629,,2927
20167,946,"14,4",48 754,,6639
20169,6 832,"13,1",57 563,,53596
20171,368,"7,5",71 121,,5014
20173,81 103,"15,7",64 720,,525525
20175,2 880,"13,7",63 579,,21358
20177,23 618,"13,6",61 255,,177480
20179,261,"10,9",62 918,,2425
20181,720,"12,8",57 044,,5830
20183,393,"11,3",52 101,,3533
20185,498,"12,8",58 019,,3993
20187,198,"10,2",76 137,,1963
20189,507,"10,0",69 320,,5175
20191,2 905,"13,1",62 921,,22473
20193,771,"10,3",62 916,,7893
20195,295,"10,9",54 628,,2752
20197,533,"7,8",68 435,,7019
20199,197,"13,5",62 309,,1488
20201,520,"9,6",63 797,,5501
20203,225,"11,1",68 225,,2064
20205,1 158,"13,7",52 064,,8622
20207,469,"15,3",49 477,,3109
20209,25 639,"15,7",58 701,,165746
21001,3 943,"22,1",44 153,,19067
21003,3 230,"15,3",61 655,,21275
21005,2 843,"11,8",66 846,,24224
21007,1 130,"15,0",56 605,,7650
21009,7 390,"16,8",50 658,,44854
21011,2 613,"20,6",48 260,,12829
21013,6 953,"30,4",33 923,,23568
21015,10 120,"7,4",90 265,,139093
21017,3 297,"16,5",56 879,,20093
21019,8 437,"18,4",55 397,,48110
21021,4 123,"14,8",57 975,,30904
21023,1 275,"15,2",58 301,,8452
21025,3 950,"30,1",36 300,,13351
21027,3 901,"19,0",52 400,,20943
21029,7 813,"9,4",77 192,,83836
21031,2 263,"18,7",50 824,,12295
21033,2 144,"17,4",51 553,,12570
21035,6 649,"19,2",51 949,,37685
21037,8 673,"9,5",74 149,,93300
21039,754,"16,2",54 535,,4720
21041,1 732,"16,3",59 226,,10938
21043,5 010,"19,5",48 285,,26395
21045,3 954,"25,5",43 539,,15920
21047,12 282,"18,3",56 610,,73037
21049,5 621,"15,4",61 641,,37061
21051,6 407,"35,1",34 473,,19913
21053,2 108,"23,5",41 739,,9123
21055,1 705,"19,6",50 452,,8981
21057,1 400,"23,9",48 864,,5946
21059,13 143,"13,1",65 949,,103222
21061,2 048,"16,8",51 402,,12269
21063,1 673,"27,2",40 312,,7293
21065,2 969,"21,3",39 402,,14044
21067,45 848,"14,9",63 667,,320347
21069,3 219,"21,3",50 012,,15288
21071,12 049,"34,8",37 296,,34978
21073,7 026,"14,1",58 456,,51607
21075,1 703,"29,2",40 409,,6382
21077,1 146,"13,3",59 175,,8763
21079,2 810,"16,1",57 748,,17589
21081,3 263,"13,0",66 458,,25502
21083,6 750,"18,8",53 408,,36412
21085,4 397,"17,1",52 130,,26631
21087,2 231,"19,9",46 169,,11365
21089,5 599,"16,1",54 462,,35403
21091,1 248,"14,0",66 300,,9021
21093,13 692,"12,6",61 920,,111862
21095,6 768,"26,9",36 022,,25662
21097,2 770,"14,8",60 962,,19103
21099,3 935,"20,4",47 229,,19600
21101,7 505,"17,4",55 530,,44046
21103,2 029,"13,0",65 068,,15771
21105,690,"16,1",53 838,,4422
21107,8 415,"19,3",52 198,,44812
21109,3 146,"24,5",41 007,,12973
21111,115 319,"15,2",64 719,,773399
21113,6 479,"12,3",69 216,,54254
21115,5 687,"26,0",42 877,,22244
21117,18 257,"10,8",77 284,,170313
21119,3 892,"29,2",38 456,,13874
21121,9 557,"33,1",36 573,,29791
21123,2 687,"18,0",53 939,,15163
21125,12 616,"20,4",50 721,,62885
21127,4 134,"25,9",42 776,,16109
21129,2 230,"36,4",34 632,,7261
21131,2 930,"30,1",36 666,,10093
21133,5 910,"28,7",37 854,,20893
21135,2 946,"23,1",44 098,,12954
21137,4 426,"18,4",49 814,,24360
21139,1 300,"14,6",55 355,,8963
21141,4 237,"15,4",56 823,,27877
21143,1 082,"14,9",58 938,,9101
21145,10 063,"15,2",60 026,,67490
21147,5 190,"34,6",35 443,,16701
21149,1 236,"13,7",55 555,,9105
21151,14 003,"15,5",60 994,,95187
21153,3 340,"29,8",35 669,,11357
21155,3 588,"18,6",53 676,,19775
21157,3 939,"12,6",64 395,,31777
21159,3 451,"36,2",34 435,,11095
21161,3 344,"20,1",49 029,,16930
21163,3 525,"11,9",69 632,,30001
21165,1 424,"23,1",43 226,,6250
21167,2 865,"12,7",65 292,,22902
21169,2 492,"24,3",44 973,,10370
21171,2 337,"20,9",45 872,,11355
21173,4 279,"15,3",55 924,,28367
21175,3 042,"25,2",41 863,,14120
21177,6 264,"21,7",48 190,,30455
21179,5 263,"11,2",66 681,,47392
21181,1 356,"17,7",51 100,,7805
21183,4 014,"17,3",50 275,,23527
21185,2 836,"4,4",116 173,,69431
21187,1 632,"14,6",60 592,,11290
21189,1 263,"32,9",32 783,,3929
21191,2 090,"14,4",65 727,,14676
21193,7 200,"27,0",43 945,,27361
21195,13 778,"25,1",41 837,,56286
21197,3 334,"26,2",42 434,,13083
21199,12 116,"18,8",46 380,,65795
21201,419,"19,3",53 456,,2229
21203,3 837,"24,2",45 161,,16242
21205,4 632,"21,4",50 498,,24388
21207,3 612,"20,2",44 425,,18178
21209,4 818,"8,3",86 169,,59099
21211,4 235,"8,9",81 815,,48886
21213,3 011,"15,6",58 550,,19949
21215,1 664,"8,3",101 552,,20204
21217,4 445,"17,8",52 414,,26407
21219,2 093,"17,1",53 280,,12404
21221,1 971,"13,8",56 433,,14332
21223,1 027,"12,1",65 828,,8539
21225,2 185,"17,2",58 223,,12961
21227,24 613,"18,4",60 651,,139843
21229,1 710,"14,4",59 937,,12061
21231,5 552,"28,8",39 863,,19681
21233,1 814,"14,7",56 052,,12726
21235,9 224,"26,3",43 604,,36873
21237,2 001,"32,0",37 718,,6400
21239,2 685,"10,1",76 633,,27062
22001,13 921,"24,9",42 981,,56744
22003,4 064,"20,9",51 423,,22320
22005,13 406,"10,3",81 284,,130458
22007,3 741,"18,3",54 403,,20604
22009,9 765,"27,2",41 587,,38751
22011,5 285,"14,9",64 394,,36570
22013,3 135,"25,5",41 807,,12641
22015,16 634,"13,1",63 812,,129276
22017,49 858,"22,2",47 699,,229025
22019,32 866,"16,5",61 797,,202418
22021,1 868,"21,1",46 464,,9554
22023,688,"14,1",63 413,,4902
22025,2 044,"25,3",41 676,,8566
22027,3 448,"28,9",37 788,,13744
22029,4 777,"27,7",41 101,,18116
22031,5 245,"19,8",52 776,,26853
22033,80 321,"18,5",61 376,,450544
22035,2 208,"41,5",30 688,,6990
22037,2 718,"16,3",56 830,,19135
22039,7 328,"24,0",40 933,,31986
22041,4 700,"24,8",38 584,,19308
22043,3 472,"18,3",52 832,,22000
22045,15 387,"22,8",45 077,,68327
22047,5 105,"19,1",53 205,,29506
22049,3 404,"24,1",43 813,,14839
22051,63 585,"15,0",61 157,,425884
22053,5 901,"18,9",52 414,,32026
22055,41 649,"17,0",58 641,,247866
22057,16 245,"17,4",59 575,,95870
22059,2 389,"18,8",55 633,,14729
22061,13 878,"32,4",44 752,,48129
22063,19 692,"13,4",72 887,,148425
22065,3 218,"37,0",33 403,,9478
22067,6 222,"26,8",39 493,,24446
22069,9 973,"28,9",42 178,,36663
22071,80 328,"22,6",51 913,,369749
22073,35 808,"23,5",47 283,,157702
22075,3 569,"16,4",71 876,,22516
22077,3 411,"17,1",56 457,,20151
22079,23 295,"18,7",55 870,,127189
22081,1 783,"24,7",44 139,,7420
22083,3 903,"20,6",44 470,,19826
22085,5 534,"25,6",45 072,,21985
22087,9 882,"22,4",51 485,,44479
22089,5 688,"11,3",75 223,,50998
22091,2 699,"25,2",45 024,,10822
22093,3 051,"15,8",67 938,,19423
22095,6 207,"15,7",60 569,,39864
22097,22 555,"28,0",42 765,,81773
22099,9 246,"18,2",54 265,,51236
22101,11 575,"24,6",48 242,,47789
22103,29 091,"10,7",78 629,,273263
22105,25 934,"19,5",54 942,,137048
22107,1 347,"35,0",33 290,,3846
22109,17 009,"16,4",57 376,,104786
22111,4 719,"23,3",48 003,,20721
22113,11 561,"20,5",50 554,,56952
22115,8 313,"18,3",52 626,,47247
22117,9 956,"23,1",41 779,,45025
22119,7 931,"22,5",43 698,,35643
22121,3 313,"12,1",71 362,,28034
22123,1 861,"19,8",41 380,,9475
22125,1 978,"19,8",68 266,,15381
22127,2 820,"24,0",45 646,,13205
23001,13 750,"12,8",62 848,,113023
23003,10 138,"15,4",51 562,,67255
23005,19 827,"6,6",88 571,,307451
23007,4 061,"14,2",52 159,,30474
23009,6 064,"11,0",63 879,,56701
23011,14 916,"12,2",63 191,,125540
23013,4 194,"10,6",65 615,,41164
23015,3 232,"9,1",72 657,,36215
23017,7 462,"12,7",58 842,,59495
23019,21 623,"14,6",60 761,,153704
23021,2 522,"14,7",52 529,,17417
23023,3 424,"9,3",73 587,,37393
23025,7 760,"15,4",55 093,,51098
23027,5 139,"13,0",63 619,,40241
23029,4 781,"15,6",55 381,,31437
23031,18 069,"8,5",81 315,,216732
24001,11 069,"18,1",50 582,,67267
24003,37 624,"6,4",112 525,,593286
24005,91 009,"11,0",86 198,,846161
24009,5 011,"5,3",118 110,,94573
24011,4 251,"12,9",65 981,,33433
24013,9 468,"5,5",105 096,,175305
24015,9 831,"9,5",84 513,,104942
24017,13 513,"8,0",112 932,,170102
24019,4 893,"15,1",54 206,,32726
24021,15 874,"5,6",116 796,,287079
24023,4 238,"15,1",59 080,,28579
24025,19 117,"7,3",100 334,,263867
24027,18 867,"5,7",133 068,,335411
24029,2 181,"12,1",69 695,,19320
24031,82 175,"7,9",118 020,,1052521
24033,101 043,"10,9",93 833,,946971
24035,3 341,"6,5",109 436,,51711
24037,9 049,"8,0",112 154,,114877
24039,4 358,"22,2",53 590,,24546
24041,3 817,"10,2",76 583,,37932
24043,17 387,"11,7",69 271,,155590
24045,12 746,"12,6",68 851,,104664
24047,4 483,"8,4",75 969,,53866
24510,104 408,"18,9",54 735,,569931
25001,17 549,"7,7",89 774,,232457
25003,14 737,"12,0",71 102,,127859
25005,64 988,"11,4",80 702,,580068
25007,1 711,"8,2",89 136,,20868
25009,77 346,"9,8",92 118,,806765
25011,9 425,"13,5",69 929,,70894
25013,75 753,"16,9",64 030,,461041
25015,16 278,"11,7",81 878,,162588
25017,127 726,"8,2",118 494,,1617105
25019,898,"6,3",107 613,,14421
25021,46 348,"6,5",115 770,,725531
25023,40 237,"7,7",102 647,,533069
25025,118 607,"16,4",84 548,,766381
25027,88 902,"10,6",86 078,,862927
26001,1 330,"12,9",53 788,,10417
26003,896,"11,3",59 390,,8807
26005,11 735,"9,8",75 893,,121210
26007,4 448,"15,6",54 161,,28847
26009,2 236,"9,3",71 945,,24249
26011,2 039,"13,6",53 615,,15089
26013,1 047,"14,2",52 491,,8277
26015,5 351,"8,5",71 173,,63554
26017,14 566,"14,3",56 388,,102821
26019,1 784,"9,9",65 846,,18297
26021,22 507,"15,0",61 790,,152900
26023,7 035,"16,3",63 634,,44531
26025,17 996,"13,8",59 652,,133289
26027,6 135,"12,1",65 703,,51403
26029,2 271,"8,7",71 362,,26293
26031,3 081,"12,0",60 849,,25940
26033,4 299,"13,4",58 924,,36293
26035,5 328,"17,2",47 973,,31352
26037,7 186,"9,1",80 212,,79748
26039,1 881,"14,1",57 600,,13491
26041,4 549,"12,5",57 019,,36741
26043,3 315,"13,0",56 349,,25874
26045,9 610,"9,0",71 499,,108992
26047,2 955,"8,8",69 805,,34163
26049,65 211,"16,4",57 443,,401983
26051,3 536,"13,9",55 017,,25728
26053,2 349,"16,8",50 142,,14319
26055,9 012,"9,5",74 746,,96464
26057,4 343,"12,3",58 074,,41100
26059,6 179,"13,9",60 070,,45762
26061,4 871,"14,4",55 623,,37035
26063,3 693,"12,0",50 177,,31248
26065,43 468,"16,3",60 571,,284108
26067,7 295,"12,1",74 391,,66809
26069,4 600,"18,2",46 129,,25521
26071,1 460,"12,8",54 149,,11622
26073,11 714,"19,4",54 642,,64447
26075,19 648,"13,0",61 299,,160066
26077,30 887,"12,2",69 689,,261173
26079,2 210,"12,3",59 160,,18182
26081,69 096,"10,7",76 923,,659083
26083,227,"10,4",57 103,,2180
26085,2 605,"22,9",48 545,,12594
26087,8 617,"9,9",72 737,,88780
26089,1 671,"7,4",89 007,,22870
26091,10 923,"11,6",67 486,,98567
26093,9 680,"5,0",101 227,,196161
26095,848,"16,1",49 371,,5330
26097,1 550,"14,3",56 942,,10941
26099,84 662,"9,8",73 927,,874195
26101,3 115,"13,0",55 788,,25287
26103,7 141,"11,4",61 598,,66661
26105,2 972,"10,2",64 014,,29409
26107,8 089,"20,4",56 096,,40720
26109,2 792,"12,2",50 564,,23266
26111,7 341,"8,9",77 595,,83674
26113,2 007,"13,3",59 230,,15213
26115,14 729,"9,6",72 166,,155609
26117,9 215,"14,8",61 590,,67433
26119,1 549,"16,3",50 680,,9569
26121,24 813,"14,5",58 303,,176565
26123,6 648,"13,3",57 992,,50886
26125,102 636,"8,2",90 801,,1269431
26127,4 314,"16,2",56 853,,26973
26129,3 399,"16,4",53 480,,20970
26131,834,"14,3",45 694,,5863
26133,3 594,"15,7",54 727,,23274
26135,1 502,"18,0",46 626,,8404
26137,2 744,"10,8",65 915,,25644
26139,23 817,"8,2",85 968,,300873
26141,1 626,"12,3",56 375,,13361
26143,3 845,"16,3",49 151,,23708
26145,33 127,"18,1",54 064,,188330
26147,20 337,"12,8",64 894,,160151
26149,7 936,"13,2",60 489,,60874
26151,5 751,"14,3",56 079,,40657
26153,1 033,"12,8",56 707,,8188
26155,8 145,"12,1",61 959,,68022
26157,6 411,"12,3",61 978,,52945
26159,10 781,"14,4",61 638,,75692
26161,47 071,"13,6",80 941,,366376
26163,369 107,"21,2",55 928,,1757043
26165,4 311,"12,8",56 379,,34196
27001,2 141,"13,5",59 064,,16126
27003,27 085,"7,4",92 249,,368864
27005,3 430,"9,8",67 448,,35371
27007,7 697,"17,3",59 882,,46799
27009,3 719,"9,1",71 493,,41463
27011,566,"11,3",57 821,,5144
27013,9 788,"14,9",68 279,,69631
27015,2 033,"8,2",64 093,,25723
27017,3 580,"10,3",78 478,,36708
27019,4 960,"4,5",117 602,,110034
27021,4 265,"13,8",67 121,,31274
27023,1 244,"10,4",61 878,,12284
27025,3 065,"5,4",98 183,,57988
27027,7 184,"11,4",79 357,,65929
27029,906,"10,6",64 716,,8649
27031,519,"9,2",69 279,,5708
27033,1 465,"13,2",59 981,,11356
27035,7 126,"10,6",67 373,,67948
27037,26 859,"6,1",97 727,,443341
27039,1 253,"6,0",88 994,,20981
27041,3 405,"8,7",73 521,,39668
27043,1 465,"10,7",67 302,,13926
27045,1 697,"8,1",72 065,,21414
27047,3 527,"11,7",65 632,,30718
27049,4 249,"9,0",82 091,,48013
27051,679,"11,2",68 381,,6136
27053,133 681,"10,8",89 418,,1260121
27055,1 403,"7,5",76 170,,18800
27057,2 089,"9,6",67 797,,21960
27059,2 955,"7,0",83 212,,42727
27061,5 067,"11,4",66 958,,45205
27063,886,"9,1",66 694,,9893
27065,1 611,"9,9",69 588,,16463
27067,3 810,"8,8",72 281,,43839
27069,407,"10,3",65 244,,4059
27071,1 373,"11,8",63 035,,11844
27073,620,"9,5",67 556,,6689
27075,906,"8,4",73 724,,10939
27077,421,"11,0",62 143,,3871
27079,1 808,"6,3",86 864,,29153
27081,520,"9,5",64 860,,5580
27083,2 764,"11,2",70 958,,25262
27085,2 642,"7,3",80 874,,36714
27087,949,"18,0",52 926,,5328
27089,749,"8,5",70 606,,8861
27091,2 210,"11,4",61 721,,19650
27093,2 141,"9,2",76 506,,23496
27095,2 925,"10,9",65 294,,27280
27097,3 256,"9,6",64 588,,34246
27099,3 763,"9,5",68 718,,40140
27101,755,"9,4",68 665,,8060
27103,2 860,"9,0",78 091,,34441
27105,2 389,"11,1",65 374,,21947
27107,626,"10,0",64 319,,6377
27109,14 379,"8,9",88 032,,164020
27111,5 203,"8,7",65 076,,60519
27113,1 296,"9,6",76 423,,13845
27115,3 376,"11,9",65 139,,29446
27117,996,"10,8",65 499,,9355
27119,3 170,"10,7",69 538,,30731
27121,1 162,"10,3",68 888,,11431
27123,72 217,"13,8",75 041,,536413
27125,371,"9,7",74 120,,3874
27127,1 662,"11,0",66 582,,15361
27129,1 563,"11,0",66 568,,14525
27131,6 425,"10,6",77 962,,67693
27133,811,"8,7",69 835,,9537
27135,1 481,"9,8",71 794,,15292
27137,28 093,"14,6",63 141,,199532
27139,6 968,"4,6",115 687,,154520
27141,6 015,"6,1",97 999,,100824
27143,1 184,"8,0",75 596,,14955
27145,17 033,"11,1",72 378,,160405
27147,3 294,"8,9",75 474,,37398
27149,958,"10,7",69 171,,9637
27151,901,"9,5",67 166,,9755
27153,2 561,"10,1",66 300,,25538
27155,434,"13,7",63 913,,3275
27157,1 597,"7,5",78 953,,21658
27159,1 652,"11,8",57 527,,14307
27161,1 520,"8,4",71 519,,18893
27163,15 451,"5,7",107 649,,275912
27165,1 685,"15,5",61 295,,11075
27167,638,"10,2",71 924,,6350
27169,6 607,"14,3",65 699,,49478
27171,7 779,"5,3",95 259,,148003
27173,1 010,"10,7",67 543,,9486
28001,8 392,"31,1",39 547,,28408
28003,6 019,"18,0",49 627,,34204
28005,2 543,"20,3",45 433,,12619
