county_fips,poverty_estimate,poverty_percent,median_household_income,percent_uninsured,population_2022
05097,1 692,"20,0",46 069,,8556
05099,1 748,"21,9",44 649,,8181
05101,1 357,"19,4",47 996,,7078
05103,3 906,"18,1",49 275,,22049
05105,1 614,"16,2",56 640,,10063
05107,5 263,"34,9",36 098,,15304
05109,1 895,"19,1",41 348,,10179
05111,4 416,"20,0",47 372,,22495
05113,3 325,"17,3",45 289,,19337
05115,9 379,"15,3",57 881,,64065
05117,1 182,"14,9",51 017,,8069
05119,67 560,"17,3",57 057,,399145
05121,3 674,"19,9",45 638,,18837
05123,6 544,"34,4",38 062,,22451
05125,12 335,"9,8",70 330,,127357
05127,2 042,"21,2",42 599,,9805
05129,1 703,"21,7",38 070,,7918
05131,21 673,"17,1",52 679,,129059
05133,3 203,"20,6",49 384,,15686
05135,3 433,"19,5",45 740,,17810
05137,2 531,"20,4",41 063,,12575
05139,6 993,"18,9",50 258,,37752
05141,3 127,"19,6",47 150,,16102
05143,35 177,"14,3",62 100,,256054
05145,11 907,"15,9",56 866,,77755
05147,1 337,"22,6",41 225,,6049
05149,3 235,"16,3",50 275,,20129
06001,161 918,"10,1",121 190,,1628997
06003,193,"16,3",71 646,,1190
06005,3 767,"10,1",74 356,,41412
06007,37 152,"18,3",63 353,,207303
06009,5 561,"12,1",73 175,,46563
06011,2 324,"10,7",72 963,,21914
06013,99 767,"8,7",119 667,,1156966
06015,4 088,"16,5",57 297,,27082
06017,14 477,"7,6",104 859,,192646
06019,185 876,"18,6",68 693,,1015190
06021,3 933,"14,0",63 247,,28339
06023,23 910,"18,0",57 660,,135010
06025,36 354,"21,2",55 523,,178713
06027,2 073,"11,2",64 332,,18718
06029,158 995,"17,8",65 981,,916108
06031,24 576,"17,9",63 683,,152981
06033,11 556,"17,1",51 848,,68191
06035,4 060,"17,2",60 308,,29904
06037,1 328 547,"13,9",82 455,,9721138
06039,33 721,"22,0",71 273,,160256
06041,19 345,"7,7",135 960,,256018
06043,2 555,"15,1",66 513,,17020
06045,15 657,"17,6",63 621,,89783
06047,53 454,"18,8",65 253,,290014
06049,1 154,"13,7",51 166,,8511
06051,1 319,"10,3",79 105,,12978
06053,50 699,"12,1",91 450,,432858
06055,11 343,"8,6",98 580,,134300
06057,10 683,"10,6",80 069,,102293
06059,308 990,"10,0",106 047,,3151184
06061,25 827,"6,2",106 114,,417772
06063,2 416,"12,6",66 725,,19351
06065,264 935,"10,9",86 350,,2473902
06067,190 656,"12,2",83 985,,1584169
06069,4 842,"7,2",106 560,,67579
06071,291 258,"13,5",78 779,,2193656
06073,338 482,"10,7",98 365,,3276208
06075,83 231,"10,4",135 366,,808437
06077,96 295,"12,3",84 738,,793229
06079,31 956,"11,9",88 578,,282013
06081,52 227,"7,2",143 795,,729181
06083,59 962,"14,1",89 334,,443837
06085,137 728,"7,5",150 502,,1870945
06087,31 936,"12,5",99 256,,264370
06089,24 791,"13,9",66 312,,180930
06091,389,"12,2",63 939,,3217
06093,6 823,"15,8",51 593,,43660
06095,43 957,"10,0",92 711,,448747
06097,42 504,"8,9",96 312,,482650
06099,81 730,"15,0",75 249,,551275
06101,13 784,"14,1",66 071,,98503
06103,9 732,"15,1",58 900,,65245
06105,2 617,"16,8",49 485,,15781
06107,86 096,"18,2",64 313,,477544
06109,7 014,"13,5",70 108,,54531
