Report_Fiscal_Year,CCN,avg_charge,avg_payment,charge_to_payment_ratio
2018,13033,41022030.0,28560326.0,1.4363291931611706
2018,13300,1099705704.0,711588520.0,1.5454236164462012
2018,13301,172359364.0,152431090.0,1.1307362822111946
2018,14000,56626789.0,24029182.0,2.3565841317444765
2018,14006,10927323.0,9828777.0,1.1117683308920328
2018,14007,32530824.0,32530823.0,1.000000030740077
2018,14012,21959757.0,22056849.0,0.9955981019773041
2018,14016,9246965.0,5055436.0,1.829113255513471
2018,14017,2812285.0,43373523.0,0.06483874966762557
2018,14018,3367436.0,2756539.0,1.221617397758566
2018,20001,1620220065.0,696409004.0,2.326535205165153
2018,20006,350744610.0,217932255.0,1.6094203678110888
2018,20008,63119442.0,99240321.0,0.6360261773034773
2018,20012,216826705.0,255588516.0,0.848342908333174
2018,20017,785642267.0,260216392.0,3.019188226235955
2018,20024,142363563.0,176132129.0,0.8082770804411272
2018,21301,8595277.0,15907478.0,0.5403293344174356
2018,21302,19773168.0,21555617.0,0.9173093027214206
2018,21303,11029233.0,25638002.0,0.4301908159613998
2018,21304,7030944.0,15986508.0,0.43980486545279307
2018,21305,1515610.0,3304336.0,0.45867308893526565
2018,21306,26014986.0,44688295.0,0.5821431764178965
2018,21307,7475425.0,9942122.0,0.7518943139100486
2018,21308,31863911.0,128986629.0,0.24703266723871045
2018,21311,44249441.0,86468647.0,0.5117397176343005
2018,21312,5115.0,81288415.0,6.292409564142689e-05
2018,21313,34983769.0,83482914.0,0.419053041200742
2018,22001,73640168.0,32537074.0,2.2632695244815193
2018,30002,2650471475.0,856650940.0,3.0939923733697183
2018,30006,1478316376.0,556015807.0,2.6587668145197174
2018,30007,300533100.0,152905969.0,1.965476573383476
2018,30010,818429614.0,168713539.0,4.851001400664116
2018,30011,1068848984.0,229675333.0,4.653738692957506
2018,30012,526390239.0,370729978.0,1.41987503098549
2018,30013,823878575.0,477359387.0,1.7259083982358139
2018,30014,1105160399.0,415814448.0,2.6578210649380805
2018,30016,327491985.0,107565660.0,3.0445774701703128
2018,30022,1146980969.0,429852934.0,2.66831020164678
2018,30023,723757208.0,445048371.0,1.6262439212478321
2018,30024,2652534966.0,1028319712.0,2.5794847021273477
2018,30030,604999660.0,126513110.0,4.782110407372011
2018,30033,31373561.0,21291014.0,1.4735587980920026
2018,30036,1200174356.0,319766003.0,3.753289420201434
2018,30037,434623979.0,131890720.0,3.295334038664737
2018,30038,1126688356.0,366842123.0,3.0713167473409264
2018,30043,180403688.0,110503958.0,1.6325540846238287
2018,30055,559834357.0,306545847.0,1.8262663235493124
2018,30061,971515717.0,323326272.0,3.0047534058723198
2018,30062,171912652.0,189018370.0,0.9095023515439267
2018,30064,1688016470.0,704163993.0,2.3971922546173134
2018,30065,2179064495.0,729752820.0,2.9860309344196847
2018,30068,27768221.0,58140160.0,0.4776082659559244
2018,30069,551812575.0,221141948.0,2.4952867603391105
2018,30083,350295861.0,87232179.0,4.015672484806323
2018,30085,1074889278.0,289406402.0,3.714117139675438
2018,30087,1611820447.0,509348555.0,3.1644743686374057
2018,30088,951249673.0,277176922.0,3.431922348138349
2018,30089,1530266543.0,534624120.0,2.8623223041264954
2018,30092,1068459380.0,301846529.0,3.5397438013938536
2018,30093,952478671.0,305026807.0,3.1226064370139115
2018,30094,1469492462.0,323480302.0,4.542757172274434
2018,30101,633946100.0,101969075.0,6.217042765171695
2018,30103,967228186.0,1482962722.0,0.6522269047299761
